Team Name,Stadium
Arsenal,"{'city': 'London', 'name': 'Emirates Stadium'}"
Aston Villa,"{'city': 'Birmingham', 'name': 'Villa Park'}"
Barnsley,"{'city': 'Barnsley', 'name': 'Oakwell'}"
Birmingham City,"{'city': 'Birmingham', 'name': ""St. Andrew's @ Knighthead Park""}"
Blackburn Rovers,"{'city': 'Blackburn', 'name': 'Ewood Park'}"
Blackpool,"{'city': 'Blackpool', 'name': 'Bloomfield Road'}"
Bolton Wanderers,"{'city': 'Bolton', 'name': 'Toughsheet Community Stadium'}"
Bournemouth,"{'city': 'Bournemouth', 'name': 'Vitality Stadium'}"
Bradford City,"{'city': 'Bradford', 'name': 'University of Bradford Stadium'}"
Brentford,"{'city': 'Brentford', 'name': 'Gtech Community Stadium'}"
Brighton and Hove Albion,"{'city': 'Falmer', 'name': 'American Express Stadium'}"
Burnley,"{'city': 'Burnley', 'name': 'Turf Moor'}"
Cardiff City,"{'city': 'Cardiff', 'name': 'Cardiff City Stadium'}"
Charlton Athletic,"{'city': 'London', 'name': 'The Valley'}"
Chelsea,"{'city': 'London', 'name': 'Stamford Bridge'}"
Coventry City,"{'city': 'Coventry', 'name': 'The Coventry Building Society Arena'}"
Crystal Palace,"{'city': 'London', 'name': 'Selhurst Park'}"
Derby County,"{'city': 'Derby', 'name': 'Pride Park Stadium'}"
Everton,"{'city': 'Liverpool', 'name': 'Hill Dickinson Stadium'}"
Fulham,"{'city': 'London', 'name': 'Craven Cottage'}"
Huddersfield Town,"{'city': 'Huddersfield', 'name': ""John Smith's Stadium""}"
Hull City,"{'city': 'Hull', 'name': 'KCOM Stadium'}"
Ipswich Town,"{'city': 'Ipswich', 'name': 'Portman Road'}"
Leeds United,"{'city': 'Leeds', 'name': 'Elland Road'}"
Leicester City,"{'city': 'Leicester', 'name': 'King Power Stadium'}"
Liverpool,"{'city': 'Liverpool', 'name': 'Anfield'}"
Luton Town,"{'city': 'Luton', 'name': 'Kenilworth Road'}"
Manchester City,"{'city': 'Manchester', 'name': 'Etihad Stadium'}"
Manchester United,"{'city': 'Manchester', 'name': 'Old Trafford'}"
Middlesbrough,"{'city': 'Middlesbrough', 'name': 'Riverside Stadium'}"
Newcastle United,"{'city': 'Newcastle', 'name': ""St. James' Park""}"
Norwich City,"{'city': 'Norwich', 'name': 'Carrow Road'}"
Nottingham Forest,"{'city': 'Nottingham', 'name': 'The City Ground'}"
Oldham Athletic,"{'city': 'Oldham', 'name': 'Boundary Park'}"
Portsmouth,"{'city': 'Portsmouth', 'name': 'Fratton Park'}"
Queens Park Rangers,"{'city': 'London', 'name': 'Loftus Road'}"
Reading,"{'city': 'Reading', 'name': 'Select Car Leasing Stadium'}"
Sheffield United,"{'city': 'Sheffield', 'name': 'Bramall Lane'}"
Sheffield Wednesday,"{'city': 'Sheffield', 'name': 'Hillsborough'}"
Southampton,"{'city': 'Southampton', 'name': ""St. Mary's Stadium""}"
Stoke City,"{'city': 'Stoke', 'name': 'bet365 Stadium'}"
Sunderland,"{'city': 'Sunderland', 'name': 'Stadium of Light'}"
Swansea City,"{'city': 'Swansea', 'name': 'Liberty Stadium'}"
Swindon Town,"{'city': 'Swindon', 'name': 'The County Ground'}"
Tottenham Hotspur,"{'city': 'London', 'name': 'Tottenham Hotspur Stadium'}"
Watford,"{'city': 'Watford', 'name': 'Vicarage Road'}"
West Bromwich Albion,"{'city': 'West Bromwich', 'name': 'The Hawthorns'}"
West Ham United,"{'city': 'London', 'name': 'London Stadium'}"
Wigan Athletic,"{'city': 'Wigan', 'name': 'DW Stadium'}"
Wimbledon,"{'city': 'London', 'name': 'Selhurst Park'}"
Wolverhampton Wanderers,"{'city': 'Wolverhampton', 'name': 'Molineux Stadium'}"
